,Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings,from Low,from High,Price 31122018,Price 31122019,P 2018,P 2019,change
0,MMM,3M Company,Industrials,222.89,24.31,2.3328617,7.92,259.77,175.49,138721055226,9048000000.0,4.3902707,11.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM,0.858028255764715,0.7873390461662705,190.54,176.42,190.54,176.42,-0.07410517476645329
1,AOS,A.O. Smith Corp,Industrials,60.24,27.76,1.1479591999999998,1.7,68.39,48.925,10783419933,601000000.0,3.5754826,6.35,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AOS,0.8808305307793537,0.8121679946879149,42.70,47.64,42.7,47.64,0.1156908665105385
2,ABT,Abbott Laboratories,Health Care,56.27,22.51,1.9089824,0.26,64.6,42.28,102121042306,5744000000.0,3.7404803999999996,3.19,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABT,0.8710526315789475,0.751377288075351,72.33,86.86,72.33,86.86,0.20088483340246088
3,ABBV,AbbVie Inc.,Health Care,108.48,19.41,2.4995599,3.29,125.86,60.05,181386347059,10310000000.0,6.291571,26.14,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABBV,0.8619100587954871,0.5535582595870207,92.19,88.54,92.19,88.54,-0.03959214665364996
4,ACN,Accenture plc,Information Technology,150.51,25.47,1.7144699,5.44,162.6,114.82,98765855553,5643228000.0,2.604117,10.62,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACN,0.9256457564575645,0.7628728988107103,141.01,210.57,141.01,210.57,0.49329834763491953
5,ATVI,Activision Blizzard,Information Technology,65.83,31.8,0.43190324,1.28,74.945,38.93,52518668144,2704000000.0,10.59512,5.16,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ATVI,0.878377476816332,0.5913717150235455,46.57,59.42,46.57,59.42,0.2759287094696157
6,AYI,Acuity Brands Inc,Industrials,145.41,18.22,0.35118526,7.43,225.36,142.0,6242377704,587800000.0,1.7953473000000002,3.55,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AYI,0.645234291799787,0.9765490681521216,,,0.0,0.0,
7,ADBE,Adobe Systems Inc,Information Technology,185.16,52.31,0.0,3.39,204.45,114.45100000000001,94550214268,2538040000.0,13.092818,11.06,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADBE,0.9056493030080704,0.6181194642471377,226.24,329.81,226.24,329.81,0.45778818953323897
8,AAP,Advance Auto Parts,Consumer Discretionary,109.63,19.54,0.21832074,6.19,169.55,78.81,8123611867,853941000.0,1.1301061000000001,2.51,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAP,0.6465939250958419,0.7188725713764481,157.46,160.16,157.46,160.16,0.017147211990346634
9,AMD,Advanced Micro Devices Inc,Information Technology,11.22,187.0,0.0,0.03,15.65,9.7,11191663795,339000000.0,2.1091955000000002,21.47,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMD,0.7169329073482429,0.8645276292335115,18.46,45.86,18.46,45.86,1.4842903575297939
