,Symbol,Sector,Sub Industry,Name,Market Cap,P 2018,P 2019,change,Index
0,MMM,Industrials,Industrial Conglomerates,3M Company,138721055226,190.54,176.42,-0.07410517476645329,S&P500
1,ABT,Health Care,Health Care Equipment,Abbott Laboratories,102121042306,72.33,86.86,0.20088483340246088,S&P500
2,ABBV,Health Care,Pharmaceuticals,AbbVie Inc.,181386347059,92.19,88.54,-0.03959214665364996,S&P500
3,ACN,Information Technology,IT Consulting & Other Services,Accenture plc,98765855553,141.01,210.57,0.49329834763491953,S&P500
4,ATVI,Communication Services,Interactive Home Entertainment,Activision Blizzard,52518668144,46.57,59.42,0.2759287094696157,S&P500
5,ADBE,Information Technology,Application Software,Adobe Systems Inc,94550214268,226.24,329.81,0.45778818953323897,S&P500
6,AMD,Information Technology,Semiconductors,Advanced Micro Devices Inc,11191663795,18.46,45.86,1.4842903575297939,S&P500
7,AAP,Consumer Discretionary,Automotive Retail,Advance Auto Parts,8123611867,157.46,160.16,0.017147211990346634,S&P500
8,AES,Utilities,Independent Power Producers & Energy Traders,AES Corp,6920851212,14.46,19.9,0.37621023513139673,S&P500
9,AFL,Financials,Life & Health Insurance,AFLAC Inc,33422948000,45.56,52.9,0.1611062335381912,S&P500
10,A,Health Care,Health Care Equipment,Agilent Technologies Inc,21984606918,67.46,85.31,0.2646012451823305,S&P500
11,APD,Materials,Industrial Gases,Air Products & Chemicals Inc,34638387128,160.05,234.99,0.4682286785379568,S&P500
12,AKAM,Information Technology,Internet Services & Infrastructure,Akamai Technologies Inc,10906904066,61.08,86.38,0.414210870988867,S&P500
13,ALK,Industrials,Airlines,Alaska Air Group Inc,7903173734,60.85,67.75,0.11339359079704181,S&P500
14,ALB,Materials,Specialty Chemicals,Albemarle Corp,11782151266,77.07,73.04,-0.052290125859608017,S&P500
15,ARE,Real Estate,Office REITs,Alexandria Real Estate Equities Inc,12043374429,115.24,161.58,0.40211732037487,S&P500
16,ALXN,Health Care,Biotechnology,Alexion Pharmaceuticals,26172439795,97.36,108.15,0.11082580115036977,S&P500
17,ALGN,Health Care,Health Care Supplies,Align Technology,18788041378,209.43,279.04,0.3323783603113213,S&P500
18,ALLE,Industrials,Building Products,Allegion,7599609494,79.71,124.54,0.5624137498431818,S&P500
19,AGN,Health Care,Pharmaceuticals,"Allergan, Plc",56668833898,133.66,191.17,0.43027083645069575,S&P500
20,ADS,Information Technology,Data Processing & Outsourced Services,Alliance Data Systems,13632608582,150.08,112.2,-0.25239872068230285,S&P500
21,LNT,Utilities,Electric Utilities,Alliant Energy Corp,8670163500,42.25,54.72,0.2951479289940828,S&P500
